date,time,home_team,away_team,home_score,away_score,stage,venue,attendance,tournament,match_id,total_goals,yellow_cards,red_cards,total_cards,stoppage_time_first_half,stoppage_time_second_half,total_stoppage_time,total_match_time,had_extra_time,winner,day_of_week,match_week,penalty_result
2025-07-02,20:00,Switzerland,Norway,1,0,Group A,"St. Jakob-Park, Basel",36000,UEFA Euro 2025,EURO_2025_01,1,1,0,1,3,3,6,96,False,Switzerland,Wednesday,Week 1,
2025-07-02,17:00,Iceland,Finland,1,1,Group A,"Arena Thun, Thun",10000,UEFA Euro 2025,EURO_2025_02,2,2,0,2,2,5,7,97,False,Draw,Wednesday,Week 1,
2025-07-06,20:00,Switzerland,Iceland,2,0,Group A,"St. Jakob-Park, Basel",38000,UEFA Euro 2025,EURO_2025_03,2,1,0,1,3,5,8,98,False,Switzerland,Sunday,Week 1,
2025-07-06,17:00,Norway,Finland,4,1,Group A,"Arena Thun, Thun",10000,UEFA Euro 2025,EURO_2025_04,5,3,0,3,1,5,6,96,False,Norway,Sunday,Week 1,
2025-07-10,20:00,Switzerland,Finland,3,0,Group A,"Stade de Genève, Geneva",30000,UEFA Euro 2025,EURO_2025_05,3,4,0,4,1,5,6,96,False,Switzerland,Thursday,Week 2,
2025-07-10,20:00,Norway,Iceland,4,3,Group A,"Stadion Wankdorf, Bern",32000,UEFA Euro 2025,EURO_2025_06,7,0,0,0,1,7,8,98,False,Norway,Thursday,Week 2,
2025-07-03,20:00,Spain,Portugal,5,0,Group B,"Stade de Genève, Geneva",30000,UEFA Euro 2025,EURO_2025_07,5,2,0,2,2,6,8,98,False,Spain,Thursday,Week 1,
2025-07-03,17:00,Belgium,Italy,1,1,Group B,"Stadion Letzigrund, Zurich",26000,UEFA Euro 2025,EURO_2025_08,2,1,0,1,2,3,5,95,False,Draw,Thursday,Week 1,
2025-07-07,20:00,Spain,Belgium,6,2,Group B,"Stade de Genève, Geneva",30000,UEFA Euro 2025,EURO_2025_09,8,1,0,1,2,7,9,99,False,Spain,Monday,Week 1,
2025-07-07,17:00,Portugal,Italy,1,1,Group B,"Stadion Letzigrund, Zurich",26000,UEFA Euro 2025,EURO_2025_10,2,2,0,2,3,4,7,97,False,Draw,Monday,Week 1,
2025-07-11,20:00,Spain,Italy,1,3,Group B,"Stadion Wankdorf, Bern",32000,UEFA Euro 2025,EURO_2025_11,4,0,0,0,1,4,5,95,False,Italy,Friday,Week 2,
2025-07-11,20:00,Portugal,Belgium,0,2,Group B,"Arena St.Gallen, St.Gallen",19000,UEFA Euro 2025,EURO_2025_12,2,2,0,2,1,3,4,94,False,Belgium,Friday,Week 2,
2025-07-04,20:00,Germany,Poland,2,3,Group C,"Stadion Wankdorf, Bern",32000,UEFA Euro 2025,EURO_2025_13,5,3,0,3,1,6,7,97,False,Poland,Friday,Week 1,
2025-07-04,17:00,Denmark,Sweden,2,4,Group C,"Arena St.Gallen, St.Gallen",19000,UEFA Euro 2025,EURO_2025_14,6,2,0,2,2,5,7,97,False,Sweden,Friday,Week 1,
2025-07-08,20:00,Germany,Denmark,3,1,Group C,"Stadion Wankdorf, Bern",32000,UEFA Euro 2025,EURO_2025_15,4,1,0,1,3,4,7,97,False,Germany,Tuesday,Week 1,
2025-07-08,17:00,Poland,Sweden,1,2,Group C,"Arena St.Gallen, St.Gallen",19000,UEFA Euro 2025,EURO_2025_16,3,3,0,3,2,6,8,98,False,Sweden,Tuesday,Week 1,
2025-07-12,20:00,Germany,Sweden,1,4,Group C,"Allmend Stadion Luzern, Lucerne",17000,UEFA Euro 2025,EURO_2025_17,5,1,0,1,2,4,6,96,False,Sweden,Saturday,Week 2,
2025-07-12,20:00,Poland,Denmark,3,2,Group C,"Stade de Tourbillon, Sion",16000,UEFA Euro 2025,EURO_2025_18,5,3,0,3,2,6,8,98,False,Poland,Saturday,Week 2,
2025-07-05,20:00,France,England,1,2,Group D,"Allmend Stadion Luzern, Lucerne",17000,UEFA Euro 2025,EURO_2025_19,3,4,0,4,2,6,8,98,False,England,Saturday,Week 1,
2025-07-05,17:00,Wales,Netherlands,0,2,Group D,"Stade de Tourbillon, Sion",16000,UEFA Euro 2025,EURO_2025_20,2,4,0,4,2,5,7,97,False,Netherlands,Saturday,Week 1,
2025-07-09,20:00,France,Wales,3,0,Group D,"Allmend Stadion Luzern, Lucerne",17000,UEFA Euro 2025,EURO_2025_21,3,3,0,3,1,6,7,97,False,France,Wednesday,Week 2,
2025-07-09,17:00,England,Netherlands,1,1,Group D,"Stade de Tourbillon, Sion",16000,UEFA Euro 2025,EURO_2025_22,2,2,0,2,2,5,7,97,False,Draw,Wednesday,Week 2,
2025-07-13,20:00,France,Netherlands,0,1,Group D,"Stadion Letzigrund, Zurich",26000,UEFA Euro 2025,EURO_2025_23,1,2,0,2,2,5,7,97,False,Netherlands,Sunday,Week 2,
2025-07-13,20:00,England,Wales,2,0,Group D,"St. Jakob-Park, Basel",36000,UEFA Euro 2025,EURO_2025_24,2,3,0,3,2,5,7,97,False,England,Sunday,Week 2,
2025-07-19,20:00,England,Sweden,2,2,Quarter-final,"St. Jakob-Park, Basel",38000,UEFA Euro 2025,EURO_2025_25,4,3,0,3,1,5,6,122,True,Draw,Saturday,Week 3,England 3-2
2025-07-19,17:00,Spain,Germany,3,1,Quarter-final,"Stadion Wankdorf, Bern",32000,UEFA Euro 2025,EURO_2025_26,4,5,0,5,1,5,6,96,False,Spain,Saturday,Week 3,
2025-07-20,20:00,Netherlands,Italy,2,0,Quarter-final,"Stade de Genève, Geneva",30000,UEFA Euro 2025,EURO_2025_27,2,2,0,2,2,4,6,96,False,Netherlands,Sunday,Week 3,
2025-07-20,17:00,France,Belgium,1,0,Quarter-final,"Stadion Letzigrund, Zurich",26000,UEFA Euro 2025,EURO_2025_28,1,5,0,5,2,4,6,96,False,France,Sunday,Week 3,
2025-07-24,20:00,England,Netherlands,3,1,Semi-final,"Stadion Wankdorf, Bern",32000,UEFA Euro 2025,EURO_2025_29,4,5,0,5,2,7,9,99,False,England,Thursday,Week 4,
2025-07-24,17:00,Spain,France,2,0,Semi-final,"Stade de Genève, Geneva",30000,UEFA Euro 2025,EURO_2025_30,2,2,0,2,3,3,6,96,False,Spain,Thursday,Week 4,
2025-07-26,17:00,Netherlands,France,1,0,3rd Place,"Stadion Letzigrund, Zurich",26000,UEFA Euro 2025,EURO_2025_31,1,3,0,3,1,3,4,94,False,Netherlands,Saturday,Week 4,
2025-07-27,20:00,England,Spain,2,1,Final,"St. Jakob-Park, Basel",38000,UEFA Euro 2025,EURO_2025_32,3,5,1,6,2,7,9,99,False,England,Sunday,Week 4,
